document_id,posting_date,cost_center,vendor,amount
10000,2024-08-05,HR,VEND3,2592
10001,2024-08-05,Marketing,VEND2,4234
10002,2024-06-06,Finance,VEND2,-909
10003,2024-02-08,Sales,VEND1,-1601
10004,2024-11-06,Marketing,VEND1,116
10005,2024-12-23,Finance,VEND2,2728
10006,2024-07-08,Sales,VEND2,3194
10007,2024-01-16,Finance,VEND1,2438
10008,2024-03-19,IT,VEND3,-1578
10009,2024-03-16,Sales,VEND2,-1716
10010,2024-02-01,Finance,VEND1,-706
10011,2024-12-29,IT,VEND2,-49
10012,2024-07-12,Sales,VEND3,-4904
10013,2024-09-29,Finance,VEND1,1302
10014,2024-08-26,Finance,VEND3,-2159
10015,2024-01-19,HR,VEND1,-3056
10016,2024-03-01,Sales,VEND1,-3405
10017,2024-10-09,IT,VEND3,-2501
10018,2024-06-18,IT,VEND3,-186
10019,2024-02-26,Marketing,VEND3,94887
10020,2024-10-27,HR,VEND1,-2263
10021,2024-01-26,Finance,VEND2,-4377
10022,2024-01-29,Marketing,VEND3,2660
10023,2024-05-10,Finance,VEND2,-3987
10024,2024-12-16,IT,VEND2,-3958
10025,2024-06-03,Finance,VEND3,3582
10026,2024-01-11,IT,VEND2,-709
10027,2024-01-26,HR,VEND3,1592
10028,2024-12-16,HR,VEND2,-331
10029,2024-12-09,Finance,VEND2,4437
10030,2024-12-29,IT,VEND3,-4889
10031,2024-08-24,Finance,VEND1,-762
10032,2024-09-23,IT,VEND3,519
10033,2024-10-29,Finance,VEND2,-3642
10034,2024-10-06,IT,VEND3,-3137
10035,2024-02-22,Sales,VEND2,4243
10036,2024-05-27,Sales,VEND1,-705
10037,2024-08-01,HR,VEND2,-2389
10038,2024-06-30,IT,VEND3,3861
10039,2024-06-21,Marketing,VEND1,1222
10040,2024-05-08,IT,VEND3,-3558
10041,2024-04-22,Marketing,VEND2,-4314
10042,2024-09-16,Finance,VEND1,-2618
10043,2024-04-24,Sales,VEND2,-1420
10044,2024-04-19,HR,VEND2,2990
10045,2024-01-31,Sales,VEND2,-969
10046,2024-06-09,Finance,VEND1,-438
10047,2024-03-15,Marketing,VEND1,3046
10048,2024-03-02,Finance,VEND2,3475
10049,2024-11-05,HR,VEND1,-3501
10050,2024-07-02,Finance,VEND3,-4838
10051,2024-08-30,Finance,VEND2,1707
10052,2024-08-14,HR,VEND2,620
10053,2024-09-04,Sales,VEND3,-1950
10054,2024-03-25,HR,VEND3,-630
10055,2024-04-21,HR,VEND2,-674
10056,2024-08-10,HR,VEND2,1915
10057,2024-08-02,Marketing,VEND2,112561
10058,2024-06-16,Finance,VEND1,-395
10059,2024-03-17,IT,VEND3,1478
10060,2024-02-25,IT,VEND2,-1956
10061,2024-02-28,Sales,VEND3,-51
10062,2024-09-25,Sales,VEND3,-3569
